산업,연령,성별,시도,규모,P_F
건설업,30~39세,남자,대구,5인 미만,9.253634720750414e-05
건설업,30~39세,남자,대전,"1,000인 이상",1.050642066273792e-05
건설업,30~39세,남자,대전,100~299인,5.956124150921182e-05
건설업,30~39세,남자,대전,10~19인,2.0354369943588213e-05
건설업,30~39세,남자,대전,20~49인,2.551058686000689e-05
건설업,30~39세,남자,대전,300~499인,5.721596334609291e-05
건설업,30~39세,남자,대전,50~99인,3.527233194490823e-05
건설업,30~39세,남자,대전,5~9인,2.1905292588556835e-05
건설업,30~39세,남자,대전,5인 미만,7.657271935759737e-05
건설업,30~39세,남자,부산,100~299인,9.933296759071194e-05
건설업,30~39세,남자,부산,10~19인,3.218957211857513e-05
건설업,30~39세,남자,부산,20~49인,4.023309163162979e-05
건설업,30~39세,남자,부산,300~499인,7.375867019092684e-05
건설업,30~39세,남자,부산,500~999인,7.462055493805802e-05
건설업,30~39세,남자,부산,50~99인,5.895946155284271e-05
건설업,30~39세,남자,부산,5~9인,3.3928917801934256e-05
건설업,30~39세,남자,부산,5인 미만,0.00012322182240043553
건설업,30~39세,남자,서울,"1,000인 이상",0.00011255402467602332
건설업,30~39세,남자,서울,100~299인,0.000409574775943974
건설업,30~39세,남자,서울,10~19인,8.445444125730048e-05
건설업,30~39세,남자,서울,20~49인,0.0001081114397996868
건설업,30~39세,남자,서울,300~499인,0.0004508160412045151
건설업,30~39세,남자,서울,500~999인,0.000622665985038945
건설업,30~39세,남자,서울,50~99인,0.00019851405775696794
건설업,30~39세,남자,서울,5~9인,8.3229892393726e-05
건설업,30~39세,남자,서울,5인 미만,0.0003045556513663485
건설업,30~39세,남자,세종,100~299인,9.896072219747782e-06
건설업,30~39세,남자,세종,10~19인,5.011410548607312e-06
건설업,30~39세,남자,세종,20~49인,3.684319211074526e-06
건설업,30~39세,남자,세종,50~99인,1.0944681107551758e-05
건설업,30~39세,남자,세종,5~9인,6.5152628955465386e-06
건설업,30~39세,남자,세종,5인 미만,1.5217089492286046e-05
건설업,30~39세,남자,울산,100~299인,3.083258619350455e-05
건설업,30~39세,남자,울산,10~19인,1.284715712450192e-05
건설업,30~39세,남자,울산,20~49인,1.5521297816126326e-05
건설업,30~39세,남자,울산,300~499인,3.60770122587081e-05
건설업,30~39세,남자,울산,500~999인,3.165128314500527e-05
건설업,30~39세,남자,울산,50~99인,1.8665155751003483e-05
건설업,30~39세,남자,울산,5~9인,1.1883859723439628e-05
건설업,30~39세,남자,울산,5인 미만,4.0337177638255414e-05
건설업,30~39세,남자,인천,"1,000인 이상",1.114086107032236e-05
건설업,30~39세,남자,인천,100~299인,7.021659207748568e-05
건설업,30~39세,남자,인천,10~19인,2.9066607126821462e-05
건설업,30~39세,남자,인천,20~49인,3.483859532163389e-05
건설업,30~39세,남자,인천,300~499인,4.855893036831199e-05
건설업,30~39세,남자,인천,50~99인,5.398067656807679e-05
건설업,30~39세,남자,인천,5~9인,3.321954374705535e-05
건설업,30~39세,남자,인천,5인 미만,0.00015056518014511136
건설업,30~39세,남자,전남,100~299인,6.993939136529679e-05
건설업,30~39세,남자,전남,10~19인,3.61995465597205e-05
건설업,30~39세,남자,전남,20~49인,3.514306893433718e-05
건설업,30~39세,남자,전남,300~499인,4.8312512627920006e-05
건설업,30~39세,남자,전남,500~999인,2.8400458907132353e-05
건설업,30~39세,남자,전남,50~99인,4.036640724345544e-05
건설업,30~39세,남자,전남,5~9인,3.614450251046953e-05
건설업,30~39세,남자,전남,5인 미만,9.591424402269877e-05
건설업,30~39세,남자,전북,100~299인,1.794596205350803e-05
건설업,30~39세,남자,전북,10~19인,2.7491109408725808e-05
건설업,30~39세,남자,전북,20~49인,2.292111821405805e-05
건설업,30~39세,남자,전북,50~99인,2.395132819362529e-05
건설업,30~39세,남자,전북,5~9인,3.321098692609415e-05
건설업,30~39세,남자,전북,5인 미만,9.645662738022724e-05
건설업,30~39세,남자,제주,100~299인,6.532691170212291e-06
